Vivado Simulator 2020.1
Time resolution is 1 ps
000 * 000 = 000 
000 * 001 = 000 
000 * 002 = 000 
000 * 003 = 000 
000 * 004 = 000 
000 * 005 = 000 
000 * 006 = 000 
000 * 007 = 000 
000 * 008 = 000 
000 * 009 = 000 
000 * 010 = 000 
000 * 011 = 000 
000 * 012 = 000 
000 * 013 = 000 
000 * 014 = 000 
000 * 015 = 000 
001 * 000 = 000 
001 * 001 = 001 
001 * 002 = 002 
001 * 003 = 003 
001 * 004 = 004 
001 * 005 = 005 
001 * 006 = 006 
001 * 007 = 007 
001 * 008 = 008 
001 * 009 = 009 
001 * 010 = 010 
001 * 011 = 011 
001 * 012 = 012 
001 * 013 = 013 
001 * 014 = 014 
001 * 015 = 015 
002 * 000 = 000 
002 * 001 = 002 
002 * 002 = 004 
002 * 003 = 006 
002 * 004 = 008 
002 * 005 = 010 
002 * 006 = 012 
002 * 007 = 014 
002 * 008 = 016 
002 * 009 = 018 
002 * 010 = 020 
002 * 011 = 022 
002 * 012 = 024 
002 * 013 = 026 
002 * 014 = 028 
002 * 015 = 030 
003 * 000 = 000 
003 * 001 = 003 
003 * 002 = 006 
003 * 003 = 009 
003 * 004 = 012 
003 * 005 = 015 
003 * 006 = 018 
003 * 007 = 021 
003 * 008 = 024 
003 * 009 = 027 
003 * 010 = 030 
003 * 011 = 033 
003 * 012 = 036 
003 * 013 = 039 
003 * 014 = 042 
003 * 015 = 045 
004 * 000 = 000 
004 * 001 = 004 
004 * 002 = 008 
004 * 003 = 012 
004 * 004 = 016 
004 * 005 = 020 
004 * 006 = 024 
004 * 007 = 028 
004 * 008 = 032 
004 * 009 = 036 
004 * 010 = 040 
004 * 011 = 044 
004 * 012 = 048 
004 * 013 = 052 
004 * 014 = 056 
004 * 015 = 060 
005 * 000 = 000 
005 * 001 = 005 
005 * 002 = 010 
005 * 003 = 015 
005 * 004 = 020 
005 * 005 = 025 
005 * 006 = 030 
005 * 007 = 035 
005 * 008 = 040 
005 * 009 = 045 
005 * 010 = 050 
005 * 011 = 055 
005 * 012 = 060 
005 * 013 = 065 
005 * 014 = 070 
005 * 015 = 075 
006 * 000 = 000 
006 * 001 = 006 
006 * 002 = 012 
006 * 003 = 018 
006 * 004 = 024 
006 * 005 = 030 
006 * 006 = 036 
006 * 007 = 042 
006 * 008 = 048 
006 * 009 = 054 
006 * 010 = 060 
006 * 011 = 066 
006 * 012 = 072 
006 * 013 = 078 
006 * 014 = 084 
006 * 015 = 090 
007 * 000 = 000 
007 * 001 = 007 
007 * 002 = 014 
007 * 003 = 021 
007 * 004 = 028 
007 * 005 = 035 
007 * 006 = 042 
007 * 007 = 049 
007 * 008 = 056 
007 * 009 = 063 
007 * 010 = 070 
007 * 011 = 077 
007 * 012 = 084 
007 * 013 = 091 
007 * 014 = 098 
007 * 015 = 105 
008 * 000 = 000 
008 * 001 = 008 
008 * 002 = 016 
008 * 003 = 024 
008 * 004 = 032 
008 * 005 = 040 
008 * 006 = 048 
008 * 007 = 056 
008 * 008 = 064 
008 * 009 = 072 
008 * 010 = 080 
008 * 011 = 088 
008 * 012 = 096 
008 * 013 = 104 
008 * 014 = 112 
008 * 015 = 120 
009 * 000 = 000 
009 * 001 = 009 
009 * 002 = 018 
009 * 003 = 027 
009 * 004 = 036 
009 * 005 = 045 
009 * 006 = 054 
009 * 007 = 063 
009 * 008 = 072 
009 * 009 = 081 
009 * 010 = 090 
